[Channel Name];[Slot Number];[Channel Number];[I/O type];[I/O Data Length(bits)]
TestingDeviceOpened;01;00;Input;0x01
TestingDeviceClosed;01;01;Input;0x01
StartButton;01;02;Input;0x01
01;03;Input;0x01
01;04;Input;0x01
01;05;Input;0x01
01;06;Input;0x01
01;07;Input;0x01

HeatingFoilOn;02;00;Output;0x01
02;01;Output;0x01
02;02;Output;0x01
02;03;Output;0x01
02;04;Output;0x01
02;05;Output;0x01
02;06;Output;0x01
02;07;Output;0x01

HeatingFoilCurrent;03;00;Input;0x10
03;01;Input;0x10
03;02;Input;0x10
03;03;Input;0x10
